2018-05-03 15:51:15,877[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=10, open=0, metric=0, events1=0, events2=0, pushers=10, create=10, release=0, error=0, push_count=10, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:01:05.234, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:1 ms.
2018-05-03 15:51:15,911[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=7369, open=0, metric=0, events1=0, events2=0, pushers=10115, create=7369, release=0, error=0, push_count=10115, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:01:04.712, expired=19, min-time=2018-02-24 11:58:59.008, time-escaped:34 ms.
2018-05-03 15:51:15,932[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=21042, open=0, metric=0, events1=0, events2=0, pushers=22059, create=21042, release=0, error=0, push_count=22059, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:01:38.589, expired=0, min-time=2018-02-24 14:00:00.014, time-escaped:55 ms.
2018-05-03 15:52:15,876[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=18, open=0, metric=0, events1=0, events2=0, pushers=18, create=18, release=0, error=0, push_count=18, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:02:07.758, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:0 ms.
2018-05-03 15:52:15,889[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=13694, open=0, metric=0, events1=0, events2=0, pushers=20157, create=13694, release=0, error=0, push_count=20157, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:02:07.115, expired=47, min-time=2018-02-24 11:56:32.503, time-escaped:13 ms.
2018-05-03 15:52:15,952[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=70180, open=0, metric=0, events1=0, events2=0, pushers=95594, create=70180, release=0, error=0, push_count=95594, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:02:33.45, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:76 ms.
2018-05-03 15:53:15,877[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=81, open=52, metric=0, events1=0, events2=14, pushers=29, create=81, release=0, error=0, push_count=81, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:03:07.916, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:1 ms.
2018-05-03 15:53:15,959[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=19843, open=6524, metric=0, events1=0, events2=162, pushers=21204, create=19843, release=0, error=0, push_count=30595, unhosted_size=0, unhosted_count=0, fromproxy_count=163, clock=2018-02-24 14:03:04.032, expired=46, min-time=2018-02-24 11:56:32.503, time-escaped:83 ms.
2018-05-03 15:53:16,105[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=113202, open=5921, metric=0, events1=0, events2=0, pushers=191746, create=113612, release=0, error=0, push_count=198270, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:03:24.034, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:229 ms.
2018-05-03 15:54:15,879[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=6477, open=6448, metric=1, events1=0, events2=651, pushers=30, create=6477, release=0, error=0, push_count=6605, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:03:23.542, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:3 ms.
2018-05-03 15:54:15,982[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=23852, open=12615, metric=0, events1=0, events2=587, pushers=18236, create=23902, release=12, error=0, push_count=37878, unhosted_size=0, unhosted_count=0, fromproxy_count=513, clock=2018-02-24 14:03:35.085, expired=31, min-time=2018-02-24 11:57:11.769, time-escaped:106 ms.
